"d";"g";"c";"sc";"p";"ccif";"glosa_ccif"
"03";"1";"2";"03";"09";"03.1.2.03.09";"ROPA INTERIOR Y CALCETINES PARA LACTANTES"
"03";"1";"2";"03";"10";"03.1.2.03.10";"ROPA DE DORMIR Y LEVANTARSE PARA LACTANTES"
"03";"1";"2";"04";"00";"03.1.2.04.00";"UNIFORMES Y ROPA DEPORTIVA ESCOLAR (SD)"
"03";"1";"2";"04";"01";"03.1.2.04.01";"UNIFORMES ESCOLARES"
"03";"1";"2";"04";"02";"03.1.2.04.02";"ROPA ESCOLAR DEPORTIVA"
"03";"1";"2";"05";"00";"03.1.2.05.00";"VESTUARIO NO IDENTIFICADO, NO DESGLOSADO Y OTROS TIPOS DE VESTUARIO N.C.P. (SD)"
"03";"1";"2";"05";"01";"03.1.2.05.01";"VESTUARIO NO IDENTIFICADO"
"03";"1";"2";"05";"88";"03.1.2.05.88";"VESTUARIO NO DESGLOSADO"
"03";"1";"2";"05";"99";"03.1.2.05.99";"OTROS TIPOS DE VESTUARIO N.C.P."
"03";"1";"3";"00";"00";"03.1.3.00.00";"OTROS ARTÍCULOS Y ACCESORIOS DE VESTIR; ACCESORIOS PARA LA CONFECCIÓN DE VESTUARIO (SD)"
"03";"1";"3";"01";"00";"03.1.3.01.00";"OTROS ARTÍCULOS Y ACCESORIOS DE VESTIR (SD)"
"03";"1";"3";"01";"01";"03.1.3.01.01";"BUFANDAS, PAÑUELOS, GUANTES Y SIMILARES"
"03";"1";"3";"01";"02";"03.1.3.01.02";"CORBATAS, CORBATINES Y SIMILARES"
"03";"1";"3";"01";"03";"03.1.3.01.03";"CINTURONES, CORREAS Y SUSPENSORES"
"03";"1";"3";"01";"04";"03.1.3.01.04";"SOMBREROS, JOCKEYS, GORRAS Y SIMILARES"
"03";"1";"3";"01";"05";"03.1.3.01.05";"ACCESORIOS ESCOLARES"
"03";"1";"3";"01";"99";"03.1.3.01.99";"OTROS ARTÍCULOS Y ACCESORIOS DE VESTIR N.C.P."
"03";"1";"3";"02";"00";"03.1.3.02.00";"ACCESORIOS PARA LA CONFECCIÓN DE VESTUARIO (SD)"
"03";"1";"3";"02";"01";"03.1.3.02.01";"HILOS, LANAS Y OTROS TIPOS DE PRODUCTOS RELACIONADOS"
"03";"1";"3";"02";"99";"03.1.3.02.99";"OTROS ACCESORIOS PARA LA CONFECCIÓN DE VESTUARIO N.C.P."
"03";"1";"4";"00";"00";"03.1.4.00.00";"LIMPIEZA, REPARACIÓN, MODIFICACIÓN, CONFECCIÓN Y ARRIENDO DE VESTUARIO (S)"
"03";"1";"4";"01";"00";"03.1.4.01.00";"LIMPIEZA DE VESTUARIO (S)"
"03";"1";"4";"01";"01";"03.1.4.01.01";"SERVICIOS DE LAVANDERÍA POR CARGA"
"03";"1";"4";"01";"02";"03.1.4.01.02";"SERVICIOS DE LAVADO Y LIMPIEZA DE VESTUARIO AL AGUA O EN SECO EN CENTROS DE LAVADO"
"03";"1";"4";"01";"03";"03.1.4.01.03";"SERVICIOS DE TINTE Y TEÑIDO DE VESTUARIO"
"03";"1";"4";"02";"00";"03.1.4.02.00";"REPARACIÓN, MODIFICACIÓN, CONFECCIÓN Y ARRIENDO DE VESTUARIO (S)"
"03";"1";"4";"02";"01";"03.1.4.02.01";"SERVICIOS DE REPARACIÓN, MODIFICACIÓN Y CONFECCIÓN DE VESTUARIO"
"03";"1";"4";"02";"02";"03.1.4.02.02";"ARRIENDO DE VESTUARIO"
"03";"2";"0";"00";"00";"03.2.0.00.00";"CALZADO"
"03";"2";"1";"00";"00";"03.2.1.00.00";"ZAPATOS Y OTRO CALZADO (SD)"
"03";"2";"1";"01";"00";"03.2.1.01.00";"CALZADO PARA HOMBRES (SD)"
"03";"2";"1";"01";"01";"03.2.1.01.01";"BOTAS, BOTINES Y BOTOTOS PARA HOMBRES"
"03";"2";"1";"01";"02";"03.2.1.01.02";"ZAPATOS PARA HOMBRES"
"03";"2";"1";"01";"03";"03.2.1.01.03";"ZAPATILLAS DEPORTIVAS PARA HOMBRES"
"03";"2";"1";"01";"04";"03.2.1.01.04";"SANDALIAS, HAWAIANAS Y SIMILARES PARA HOMBRES"
"03";"2";"1";"02";"00";"03.2.1.02.00";"CALZADO PARA MUJERES (SD)"
"03";"2";"1";"02";"01";"03.2.1.02.01";"BOTAS, BOTINES Y BOTOTOS PARA MUJERES"
"03";"2";"1";"02";"02";"03.2.1.02.02";"ZAPATOS PARA MUJERES"
"03";"2";"1";"02";"03";"03.2.1.02.03";"ZAPATILLAS DEPORTIVAS PARA MUJERES"
"03";"2";"1";"02";"04";"03.2.1.02.04";"SANDALIAS, HAWAIANAS Y SIMILARES PARA MUJERES"
"03";"2";"1";"03";"00";"03.2.1.03.00";"CALZADO INFANTIL (NIÑAS Y NIÑOS) Y PARA LACTANTES (SD)"
"03";"2";"1";"03";"01";"03.2.1.03.01";"BOTAS, BOTINES Y BOTOTOS INFANTILES"
"03";"2";"1";"03";"02";"03.2.1.03.02";"BOTAS, BOTINES Y BOTOTOS PARA LACTANTES"
"03";"2";"1";"03";"03";"03.2.1.03.03";"ZAPATOS INFANTILES"
"03";"2";"1";"03";"04";"03.2.1.03.04";"ZAPATOS PARA LACTANTES"
"03";"2";"1";"03";"05";"03.2.1.03.05";"ZAPATILLAS DEPORTIVAS INFANTILES"
"03";"2";"1";"03";"06";"03.2.1.03.06";"ZAPATILLAS DEPORTIVAS PARA LACTANTES"
"03";"2";"1";"03";"07";"03.2.1.03.07";"SANDALIAS, HAWAIANAS Y SIMILARES INFANTILES"
"03";"2";"1";"03";"08";"03.2.1.03.08";"SANDALIAS, HAWAIANAS Y SIMILARES PARA LACTANTES"
"03";"2";"1";"04";"00";"03.2.1.04.00";"CALZADO ESCOLAR (SD)"
"03";"2";"1";"04";"01";"03.2.1.04.01";"CALZADO ESCOLAR"
"03";"2";"1";"05";"00";"03.2.1.05.00";"ACCESORIOS PARA CALZADO, CALZADO NO IDENTIFICADO, NO DESGLOSADO Y OTROS TIPOS DE CALZADO N.C.P. (SD)"
"03";"2";"1";"05";"01";"03.2.1.05.01";"ACCESORIOS PARA CALZADO"
"03";"2";"1";"05";"02";"03.2.1.05.02";"CALZADO NO IDENTIFICADO"
"03";"2";"1";"05";"88";"03.2.1.05.88";"CALZADO NO DESGLOSADO"
"03";"2";"1";"05";"99";"03.2.1.05.99";"OTROS TIPOS DE CALZADO N.C.P."
"03";"2";"2";"00";"00";"03.2.2.00.00";"LIMPIEZA, REPARACIÓN Y ARRIENDO DE CALZADO (S)"
"03";"2";"2";"01";"00";"03.2.2.01.00";"LIMPIEZA, REPARACIÓN Y ARRIENDO DE CALZADO (S)"
"03";"2";"2";"01";"01";"03.2.2.01.01";"LIMPIEZA, LUSTRADO Y PULIDO DE CALZADO"
"03";"2";"2";"01";"02";"03.2.2.01.02";"REPARACIÓN DE CALZADO"
"03";"2";"2";"01";"03";"03.2.2.01.03";"ARRIENDO DE CALZADO"
"03";"3";"0";"00";"00";"03.3.0.00.00";"GASTOS NO DESGLOSADOS EN VESTUARIO Y CALZADO"
"03";"3";"1";"00";"00";"03.3.1.00.00";"GASTOS NO DESGLOSADOS EN VESTUARIO Y CALZADO"
"03";"3";"1";"01";"00";"03.3.1.01.00";"GASTOS NO DESGLOSADOS EN VESTUARIO Y CALZADO"
"03";"3";"1";"01";"01";"03.3.1.01.01";"GASTOS NO DESGLOSADOS EN VESTUARIO Y CALZADO"
"04";"0";"0";"00";"00";"04.0.0.00.00";"VIVIENDA, AGUA, ELECTRICIDAD, GAS Y OTROS COMBUSTIBLES"
"04";"1";"0";"00";"00";"04.1.0.00.00";"ARRIENDOS EFECTIVOS PARA VIVIENDAS"
"04";"1";"1";"00";"00";"04.1.1.00.00";"ARRIENDOS EFECTIVOS PAGADOS POR LOS ARRENDATARIOS PARA VIVIENDA PRINCIPAL (S)"
"04";"1";"1";"01";"00";"04.1.1.01.00";"ARRIENDOS EFECTIVOS PAGADOS POR LOS ARRENDATARIOS PARA VIVIENDA PRINCIPAL (S)"
"04";"1";"1";"01";"01";"04.1.1.01.01";"ARRIENDOS DE VIVIENDA PRINCIPAL"
"04";"1";"2";"00";"00";"04.1.2.00.00";"OTROS ARRIENDOS EFECTIVOS (S)"
"04";"1";"2";"01";"00";"04.1.2.01.00";"ARRIENDOS EFECTIVOS PAGADOS POR LOS ARRENDATARIOS PARA VIVIENDAS SECUNDARIAS (S)"
"04";"1";"2";"01";"01";"04.1.2.01.01";"ARRIENDOS DE VIVIENDAS SECUNDARIAS"
"04";"1";"2";"02";"00";"04.1.2.02.00";"ARRIENDOS DE ESTACIONAMIENTOS Y OTROS ARRIENDOS PAGADOS POR LOS ARRENDATARIOS (S)"
"04";"1";"2";"02";"01";"04.1.2.02.01";"ARRIENDOS DE ESTACIONAMIENTOS PARA EL USO DEL HOGAR"
"04";"1";"2";"02";"02";"04.1.2.02.02";"ARRIENDOS DE BODEGAS Y SIMILARES PARA EL USO DEL HOGAR"
"04";"2";"0";"00";"00";"04.2.0.00.00";"ARRIENDOS IMPUTADOS PARA VIVIENDAS"
"04";"2";"1";"00";"00";"04.2.1.00.00";"ARRIENDOS IMPUTADOS DE PROPIETARIOS OCUPANTES PARA VIVIENDA PRINCIPAL (S)"
"04";"2";"1";"01";"00";"04.2.1.01.00";"ARRIENDOS IMPUTADOS DE PROPIETARIOS OCUPANTES PARA VIVIENDA PRINCIPAL (S)"
"04";"2";"1";"01";"01";"04.2.1.01.01";"ARRIENDOS IMPUTADOS DE PROPIETARIOS OCUPANTES PARA VIVIENDA PRINCIPAL"
"04";"2";"2";"00";"00";"04.2.2.00.00";"OTROS ARRIENDOS IMPUTADOS (S)"
"04";"2";"2";"01";"00";"04.2.2.01.00";"OTROS ARRIENDOS IMPUTADOS (S)"
"04";"2";"2";"01";"01";"04.2.2.01.01";"ARRIENDOS IMPUTADOS DE LA VIVIENDA PRINCIPAL PARA HOGARES QUE NO PAGAN ARRIENDO Y NO SON PROPIETARIOS"
"04";"2";"2";"01";"02";"04.2.2.01.02";"ARRIENDOS IMPUTADOS PARA LAS VIVIENDAS SECUNDARIAS (SOLO PARA PROPIETARIOS)"
"04";"2";"2";"01";"99";"04.2.2.01.99";"OTROS ARRIENDOS IMPUTADOS N.C.P."
"04";"3";"0";"00";"00";"04.3.0.00.00";"MANTENIMIENTO, REPARACIÓN Y SEGURIDAD DE LA VIVIENDA"
"04";"3";"1";"00";"00";"04.3.1.00.00";"EQUIPOS DE SEGURIDAD Y MATERIALES PARA EL MANTENIMIENTO Y LA REPARACIÓN DE LA VIVIENDA (ND)"
"04";"3";"1";"01";"00";"04.3.1.01.00";"MATERIALES PARA EL MANTENIMIENTO Y LA REPARACIÓN DE LA VIVIENDA (ND)"
"04";"3";"1";"01";"01";"04.3.1.01.01";"PINTURAS, BARNICES, ESMALTES, LACAS Y DILUYENTES PARA EL MANTENIMIENTO Y REPARACIÓN DE LA VIVIENDA"
"04";"3";"1";"01";"02";"04.3.1.01.02";"PRODUCTOS DE GASFITERÍA"
"04";"3";"1";"01";"03";"04.3.1.01.03";"MATERIALES Y ACCESORIOS PARA TECHUMBRE, CIELOS Y TABIQUERÍA"
"04";"3";"1";"01";"04";"04.3.1.01.04";"REVESTIMIENTO PARA PISOS Y MUROS"
"04";"3";"1";"01";"05";"04.3.1.01.05";"PEGAMENTOS, SELLANTES Y AISLANTES PARA EL MANTENIMIENTO Y REPARACIÓN DE LA VIVIENDA"
"04";"3";"1";"01";"06";"04.3.1.01.06";"CEMENTO Y COMPLEMENTOS PARA EL CEMENTO"
"04";"3";"1";"01";"07";"04.3.1.01.07";"PUERTAS, VENTANAS Y SUS ACCESORIOS"
"04";"3";"1";"01";"99";"04.3.1.01.99";"OTROS MATERIALES PARA EL MANTENIMIENTO Y REPARACIÓN DE LA VIVIENDA N.C.P."
"04";"3";"1";"02";"00";"04.3.1.02.00";"EQUIPOS DE SEGURIDAD (SD)"
"04";"3";"1";"02";"01";"04.3.1.02.01";"EQUIPOS DE SEGURIDAD"
"04";"3";"2";"00";"00";"04.3.2.00.00";"SERVICIOS DE MANTENIMIENTO, REPARACIÓN Y SEGURIDAD DE LA VIVIENDA (S)"
"04";"3";"2";"01";"00";"04.3.2.01.00";"SERVICIOS DE MANTENIMIENTO, REPARACIÓN Y SEGURIDAD DE LA VIVIENDA (S)"
"04";"3";"2";"01";"01";"04.3.2.01.01";"SERVICIOS DE CARPINTERÍA, VIDRIERÍA Y CERRAJERÍA"
"04";"3";"2";"01";"02";"04.3.2.01.02";"SERVICIOS DE GASFITERÍA PARA LA VIVIENDA"
"04";"3";"2";"01";"03";"04.3.2.01.03";"SERVICIOS DE ELECTRICISTA PARA LA VIVIENDA"
"04";"3";"2";"01";"04";"04.3.2.01.04";"SERVICIOS DE PINTURA Y ALBAÑILERÍA PARA LA VIVIENDA"
"04";"3";"2";"01";"05";"04.3.2.01.05";"SERVICIOS DE DECORACIÓN PARA LA VIVIENDA"
"04";"3";"2";"01";"06";"04.3.2.01.06";"SERVICIOS DE SOLDADURA PARA LA VIVIENDA"
"04";"3";"2";"01";"07";"04.3.2.01.07";"SERVICIOS DE SEGURIDAD PARA LA VIVIENDA"
"04";"3";"2";"01";"99";"04.3.2.01.99";"OTROS SERVICIOS PARA EL MANTENIMIENTO Y REPARACIÓN DE LA VIVIENDA N.C.P."
"04";"4";"0";"00";"00";"04.4.0.00.00";"SUMINISTRO DE AGUA Y SERVICIOS DIVERSOS RELACIONADOS CON LA VIVIENDA"
"04";"4";"2";"00";"00";"04.4.2.00.00";"RECOLECCIÓN DE DESECHOS (S)"
"04";"4";"2";"01";"00";"04.4.2.01.00";"RECOLECCIÓN DE DESECHOS (S)"
"04";"4";"2";"01";"01";"04.4.2.01.01";"SERVICIOS DE RECOLECCIÓN DE DESECHOS PARA LA VIVIENDA PRINCIPAL"
"04";"4";"2";"01";"02";"04.4.2.01.02";"SERVICIOS DE RECOLECCIÓN DE DESECHOS PARA LAS VIVIENDAS SECUNDARIAS"
"04";"4";"4";"00";"00";"04.4.4.00.00";"OTROS SERVICIOS RELACIONADOS CON LA VIVIENDA N.C.P. (S)"
"04";"4";"4";"01";"00";"04.4.4.01.00";"GASTOS DE MANTENIMIENTO COMPARTIDOS POR EDIFICACIONES DE MÚLTIPLES OCUPANTES BAJO RÉGIMEN DE COPROPIEDAD (S)"
"04";"4";"4";"01";"01";"04.4.4.01.01";"GASTOS COMUNES DE LA VIVIENDA PRINCIPAL"
"04";"4";"4";"01";"02";"04.4.4.01.02";"GASTOS COMUNES DE LAS VIVIENDAS SECUNDARIAS"
"04";"4";"4";"09";"00";"04.4.4.09.00";"OTROS SERVICIOS RELACIONADOS CON LA VIVIENDA (S)"
"04";"4";"4";"09";"99";"04.4.4.09.99";"OTROS SERVICIOS RELACIONADOS CON LA VIVIENDA N.C.P."
"04";"4";"5";"00";"00";"04.4.5.00.00";"SUMINISTRO DE AGUA Y RECOLECCIÓN DE AGUAS RESIDUALES (S)"
"04";"4";"5";"01";"00";"04.4.5.01.00";"SUMINISTRO DE AGUA POTABLE POR CAÑERÍAS Y RECOLECCIÓN DE AGUAS RESIDUALES POR ALCANTARILLADO (S)"
"04";"4";"5";"01";"01";"04.4.5.01.01";"SUMINISTRO DE AGUA POTABLE POR CAÑERÍAS Y RECOLECCIÓN DE AGUAS RESIDUALES POR ALCANTARILLADO PARA LA VIVIENDA PRINCIPAL"
"04";"4";"5";"01";"02";"04.4.5.01.02";"SUMINISTRO DE AGUA POTABLE POR CAÑERÍAS Y RECOLECCIÓN DE AGUAS RESIDUALES POR ALCANTARILLADO PARA LAS VIVIENDAS SECUNDARIAS"
"04";"4";"5";"02";"00";"04.4.5.02.00";"OTROS SISTEMAS DE SUMINISTRO DE AGUA Y RECOLECCIÓN DE AGUAS RESIDUALES (S)"
"04";"4";"5";"02";"01";"04.4.5.02.01";"OTROS SISTEMAS DE SUMINISTRO DE AGUA Y RECOLECCIÓN DE AGUAS RESIDUALES"
"04";"5";"0";"00";"00";"04.5.0.00.00";"ELECTRICIDAD, GAS Y OTROS COMBUSTIBLES"
"04";"5";"1";"00";"00";"04.5.1.00.00";"ELECTRICIDAD (ND)"
"04";"5";"1";"01";"00";"04.5.1.01.00";"ELECTRICIDAD (ND)"
"04";"5";"1";"01";"01";"04.5.1.01.01";"ELECTRICIDAD PARA LA VIVIENDA PRINCIPAL"
"04";"5";"1";"01";"02";"04.5.1.01.02";"ELECTRICIDAD PARA LAS VIVIENDAS SECUNDARIAS"
"04";"5";"2";"00";"00";"04.5.2.00.00";"GAS (ND)"
"04";"5";"2";"01";"00";"04.5.2.01.00";"GAS NATURAL A TRAVÉS DE CAÑERÍAS (ND)"
"04";"5";"2";"01";"01";"04.5.2.01.01";"GAS NATURAL A TRAVÉS DE CAÑERÍAS PARA LA VIVIENDA PRINCIPAL"
"04";"5";"2";"01";"02";"04.5.2.01.02";"GAS NATURAL A TRAVÉS DE CAÑERÍAS PARA LAS VIVIENDAS SECUNDARIAS"
"04";"5";"2";"02";"00";"04.5.2.02.00";"HIDROCARBUROS LICUADOS (ND)"
"04";"5";"2";"02";"01";"04.5.2.02.01";"GAS ENVASADO"
"04";"5";"3";"00";"00";"04.5.3.00.00";"COMBUSTIBLES LÍQUIDOS (ND)"
"04";"5";"3";"01";"00";"04.5.3.01.00";"COMBUSTIBLES LÍQUIDOS (ND)"
"04";"5";"3";"01";"01";"04.5.3.01.01";"COMBUSTIBLES LÍQUIDOS"
"04";"5";"4";"00";"00";"04.5.4.00.00";"COMBUSTIBLES SÓLIDOS (ND)"
"04";"5";"4";"01";"00";"04.5.4.01.00";"CARBÓN MINERAL, BRIQUETAS DE CARBÓN MINERAL Y TURBA (ND)"
"04";"5";"4";"01";"01";"04.5.4.01.01";"CARBÓN MINERAL, BRIQUETAS DE CARBÓN MINERAL Y TURBA"
"04";"5";"4";"02";"00";"04.5.4.02.00";"COMBUSTIBLES DE MADERA, INCLUIDOS PELLETS Y BRIQUETAS (ND)"
"04";"5";"4";"02";"01";"04.5.4.02.01";"COMBUSTIBLES DE MADERA, INCLUIDOS PELLETS Y BRIQUETAS"
"04";"5";"4";"03";"00";"04.5.4.03.00";"CARBÓN VEGETAL (ND)"
"04";"5";"4";"03";"01";"04.5.4.03.01";"CARBÓN VEGETAL"
"04";"5";"4";"09";"00";"04.5.4.09.00";"OTROS COMBUSTIBLES SÓLIDOS N.C.P. (ND)"
"04";"5";"4";"09";"99";"04.5.4.09.99";"OTROS COMBUSTIBLES SÓLIDOS N.C.P."
"04";"5";"5";"00";"00";"04.5.5.00.00";"OTRAS ENERGÍAS PARA CALEFACCIÓN Y REFRIGERACIÓN (ND)"
"04";"5";"5";"01";"00";"04.5.5.01.00";"OTRAS ENERGÍAS PARA CALEFACCIÓN Y REFRIGERACIÓN (ND)"
"04";"5";"5";"01";"99";"04.5.5.01.99";"OTRAS ENERGÍAS PARA CALEFACCIÓN Y REFRIGERACIÓN N.C.P."
"04";"6";"0";"00";"00";"04.6.0.00.00";"GASTOS NO DESGLOSADOS EN VIVIENDA, AGUA, ELECTRICIDAD, GAS Y OTROS COMBUSTIBLES"
"04";"6";"1";"00";"00";"04.6.1.00.00";"GASTOS NO DESGLOSADOS EN VIVIENDA, AGUA, ELECTRICIDAD, GAS Y OTROS COMBUSTIBLES"
"04";"6";"1";"01";"00";"04.6.1.01.00";"GASTOS NO DESGLOSADOS EN VIVIENDA, AGUA, ELECTRICIDAD, GAS Y OTROS COMBUSTIBLES"
"04";"6";"1";"01";"01";"04.6.1.01.01";"GASTOS NO DESGLOSADOS EN VIVIENDA, AGUA, ELECTRICIDAD, GAS Y OTROS COMBUSTIBLES"
"05";"0";"0";"00";"00";"05.0.0.00.00";"MUEBLES, EQUIPAMIENTO PARA EL HOGAR Y MANTENIMIENTO RUTINARIO DE LA VIVIENDA"
"05";"1";"0";"00";"00";"05.1.0.00.00";"MUEBLES, ACCESORIOS PARA MOBILIARIO Y ALFOMBRAS"
"05";"1";"1";"00";"00";"05.1.1.00.00";"MUEBLES, ACCESORIOS PARA MOBILIARIO Y ALFOMBRAS (D)"
"05";"1";"1";"01";"00";"05.1.1.01.00";"MUEBLES PARA EL HOGAR (D)"
"05";"1";"1";"01";"01";"05.1.1.01.01";"CAMAS Y SOMIER"
"05";"1";"1";"01";"02";"05.1.1.01.02";"COLCHONES"
"05";"1";"1";"01";"03";"05.1.1.01.03";"OTROS MUEBLES PARA DORMITORIO"
"05";"1";"1";"01";"04";"05.1.1.01.04";"LIVING Y SOFÁS"
"05";"1";"1";"01";"05";"05.1.1.01.05";"OTROS MUEBLES PARA LIVING"
"05";"1";"1";"01";"06";"05.1.1.01.06";"MUEBLES PARA COMEDOR"
"05";"1";"1";"01";"07";"05.1.1.01.07";"MUEBLES PARA COCINA"
"05";"1";"1";"01";"08";"05.1.1.01.08";"MUEBLES PARA BAÑO"
"05";"1";"1";"01";"09";"05.1.1.01.09";"MUEBLES PARA ESCRITORIO"
"05";"1";"1";"01";"99";"05.1.1.01.99";"OTROS MUEBLES PARA EL HOGAR N.C.P."
"05";"1";"1";"02";"00";"05.1.1.02.00";"MUEBLES PARA EL JARDÍN Y AL AIRE LIBRE (D)"
"05";"1";"1";"02";"01";"05.1.1.02.01";"MUEBLES PARA EL JARDÍN Y AL AIRE LIBRE"
"05";"1";"1";"03";"00";"05.1.1.03.00";"EQUIPOS DE ILUMINACIÓN (D)"
"05";"1";"1";"03";"01";"05.1.1.03.01";"EQUIPOS DE ILUMINACIÓN"
"05";"1";"1";"04";"00";"05.1.1.04.00";"ACCESORIOS PARA MOBILIARIO, ALFOMBRAS Y TAPETES (D)"
"05";"1";"1";"04";"01";"05.1.1.04.01";"ALFOMBRAS Y TAPETES"
"05";"1";"1";"04";"02";"05.1.1.04.02";"OBJETOS DE ARTE"
"05";"1";"1";"04";"99";"05.1.1.04.99";"ACCESORIOS Y ADORNOS PARA EL HOGAR N.C.P."
"05";"1";"2";"00";"00";"05.1.2.00.00";"REPARACIÓN, INSTALACIÓN Y ARRIENDO DE MUEBLES, ACCESORIOS Y ALFOMBRAS (S)"
"05";"1";"2";"01";"00";"05.1.2.01.00";"REPARACIÓN, INSTALACIÓN Y ARRIENDO DE MUEBLES, ACCESORIOS Y ALFOMBRAS (S)"
"05";"1";"2";"01";"01";"05.1.2.01.01";"REPARACIÓN DE MUEBLES, ACCESORIOS Y ALFOMBRAS"
"05";"1";"2";"01";"02";"05.1.2.01.02";"SERVICIO DE INSTALACIÓN DE MUEBLES, ACCESORIOS Y ALFOMBRAS"
"05";"1";"2";"01";"03";"05.1.2.01.03";"SERVICIO DE ARRIENDO DE MUEBLES, ACCESORIOS Y ALFOMBRAS"
"05";"2";"0";"00";"00";"05.2.0.00.00";"TEXTILES PARA EL HOGAR"
"05";"2";"1";"00";"00";"05.2.1.00.00";"TEXTILES PARA EL HOGAR (SD)"
"05";"2";"1";"01";"00";"05.2.1.01.00";"TELAS PARA REVESTIR MUEBLES Y CORTINAS (SD)"
"05";"2";"1";"01";"01";"05.2.1.01.01";"TELAS PARA REVESTIR MUEBLES"
"05";"2";"1";"01";"02";"05.2.1.01.02";"TOLDOS DE GÉNERO PARA VENTANAS Y CORTINAS"
"05";"2";"1";"02";"00";"05.2.1.02.00";"ARTÍCULOS Y ROPA DE CAMA (SD)"
"05";"2";"1";"02";"01";"05.2.1.02.01";"ALMOHADAS"
"05";"2";"1";"02";"02";"05.2.1.02.02";"SÁBANAS"
"05";"2";"1";"02";"03";"05.2.1.02.03";"MANTAS, CUBRECAMAS Y OTROS ARTÍCULOS DE CAMA"
"05";"2";"1";"03";"00";"05.2.1.03.00";"TEXTILES PARA MESA Y BAÑO (SD)"
"05";"2";"1";"03";"01";"05.2.1.03.01";"TEXTILES PARA MESA"
"05";"2";"1";"03";"02";"05.2.1.03.02";"TEXTILES PARA BAÑO"
"05";"2";"1";"09";"00";"05.2.1.09.00";"OTROS TEXTILES PARA EL HOGAR (SD)"
"05";"2";"1";"09";"99";"05.2.1.09.99";"OTROS TEXTILES PARA EL HOGAR N.C.P."
"05";"2";"2";"00";"00";"05.2.2.00.00";"SERVICIOS DE REPARACIÓN, ARRIENDO Y COSTURA DE TEXTILES PARA EL HOGAR (S)"
"05";"2";"2";"01";"00";"05.2.2.01.00";"SERVICIOS DE REPARACIÓN, ARRIENDO Y COSTURA DE TEXTILES PARA EL HOGAR (S)"
"05";"2";"2";"01";"01";"05.2.2.01.01";"SERVICIOS DE REPARACIÓN Y COSTURA DE TEXTILES PARA EL HOGAR"
"05";"2";"2";"01";"02";"05.2.2.01.02";"SERVICIOS DE ARRIENDO DE TEXTILES PARA EL HOGAR"
"05";"3";"0";"00";"00";"05.3.0.00.00";"ARTEFACTOS PARA EL HOGAR"
"05";"3";"1";"00";"00";"05.3.1.00.00";"ARTEFACTOS GRANDES PARA EL HOGAR, ELÉCTRICOS O NO (D)"
"05";"3";"1";"01";"00";"05.3.1.01.00";"ARTEFACTOS GRANDES PARA LA COCINA (D)"
"05";"3";"1";"01";"01";"05.3.1.01.01";"ARTEFACTOS PARA REFRIGERACIÓN"
"05";"3";"1";"01";"02";"05.3.1.01.02";"MÁQUINAS PARA LAVAR VAJILLA"
"05";"3";"1";"01";"03";"05.3.1.01.03";"COCINAS"
"05";"3";"1";"01";"04";"05.3.1.01.04";"HORNOS MICROONDAS Y OTROS TIPOS DE HORNOS"
"05";"3";"1";"01";"05";"05.3.1.01.05";"PARRILLAS"
"05";"3";"1";"01";"99";"05.3.1.01.99";"OTROS ARTEFACTOS GRANDES PARA LA COCINA N.C.P."
"05";"3";"1";"02";"00";"05.3.1.02.00";"ARTEFACTOS GRANDES PARA LAVANDERÍA (D)"
"05";"3";"1";"02";"01";"05.3.1.02.01";"ARTEFACTOS GRANDES PARA LAVANDERÍA"
"05";"3";"1";"03";"00";"05.3.1.03.00";"CALEFACTORES, ACONDICIONADORES DE AIRE (D)"
"05";"3";"1";"03";"01";"05.3.1.03.01";"ARTEFACTOS PARA LA CALEFACCIÓN DEL HOGAR (EXCEPTO COMBUSTIÓN SÓLIDA Y AIRE ACONDICIONADO)"
"05";"3";"1";"03";"02";"05.3.1.03.02";"AIRE ACONDICIONADO"
"05";"3";"1";"03";"03";"05.3.1.03.03";"CALENTADORES DE AGUA"
"05";"3";"1";"03";"04";"05.3.1.03.04";"CALEFACTORES DE COMBUSTIÓN SÓLIDA"
"05";"3";"1";"03";"99";"05.3.1.03.99";"OTROS ARTEFACTOS DE CLIMATIZACIÓN PARA EL HOGAR N.C.P."
"05";"3";"1";"04";"00";"05.3.1.04.00";"EQUIPOS PARA LIMPIEZA (D)"
"05";"3";"1";"04";"01";"05.3.1.04.01";"ASPIRADORAS"
"05";"3";"1";"04";"99";"05.3.1.04.99";"OTROS EQUIPOS PARA LIMPIEZA N.C.P."
"05";"3";"1";"09";"00";"05.3.1.09.00";"OTROS ARTEFACTOS GRANDES PARA EL HOGAR (D)"
"05";"3";"1";"09";"01";"05.3.1.09.01";"MÁQUINAS DE COSER, TEJER Y BORDAR"
"05";"3";"1";"09";"02";"05.3.1.09.02";"ARTEFACTOS GRANDES NO ELÉCTRICOS PARA COCINA Y BAÑO"
"05";"3";"1";"09";"03";"05.3.1.09.03";"PANELES SOLARES Y SIMILARES"
"05";"3";"1";"09";"88";"05.3.1.09.88";"OTROS ARTEFACTOS GRANDES PARA EL HOGAR NO DESGLOSADOS"
"05";"3";"1";"09";"99";"05.3.1.09.99";"OTROS ARTEFACTOS GRANDES PARA EL HOGAR N.C.P."
"05";"3";"2";"00";"00";"05.3.2.00.00";"ARTEFACTOS PEQUEÑOS (SD)"
